simNo_9-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_12,cell_13,cell_16,cell_17,cell_18,cell_19,cell_2,cell_3,cell_6	mut3	0	5.353825579602536992771992735E-10	0E+37	
simNo_8-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_12,cell_13,cell_16,cell_5	mut3	0	3.479178490363624174790845028E-9	0E+36	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_12,cell_14,cell_15,cell_16,cell_18,cell_19,cell_2,cell_3,cell_5	mut1	0	8.447158803220133568903616046E-17	0E+44	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_12,cell_15,cell_16,cell_17,cell_18,cell_19,cell_3,cell_5,cell_6,cell_7,cell_8	mut1	0	2.865720242314168945104521720E-12	0E+39	
simNo_8-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_12,cell_4,cell_5,cell_7,cell_8	mut2	0	0.06354211192048303888101656994	0E+29	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_13,cell_14,cell_15,cell_16,cell_17,cell_19,cell_2,cell_3,cell_6,cell_7	mut2	0	8.447158803220133568903616046E-17	0E+44	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_13,cell_14,cell_17,cell_2,cell_4,cell_6,cell_8	mut4	0	8.447158803220133568903616046E-17	0E+44	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_13,cell_14,cell_19,cell_2,cell_3,cell_5,cell_6	mut2	0	2.451450462644184910075235752E-21	0E+48	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_13,cell_15,cell_16,cell_19,cell_3,cell_5	mut0	0	2.451450462644184910075235752E-21	0E+48	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_13,cell_16,cell_17,cell_18,cell_19,cell_2,cell_6,cell_7	mut3	0	8.447158803220133568903616046E-17	0E+44	
simNo_6-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_13,cell_3	mut10	1.608278748130979725609924852E-16	2.357375393026229112910653551E-15	0.06822327716191128347846375539	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.2-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_14,cell_15,cell_16,cell_18,cell_19,cell_2,cell_4,cell_5,cell_7,cell_8	mut0	0	8.447158803220133568903616046E-17	0E+44	
simNo_5-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.4-na_0.50-d_0-l_1000000	cell_0,cell_11,cell_14,cell_15,cell_16,cell_19,cell_3,cell_4	mut1	0	4.389712819649266717030737042E-11	0E+38	
simNo_3-s_7-m_20-h_1-minCP_0.10-ISAV_0-n_20-fp_0.001-fn_0.1-na_0.25-d_0-l_1000000	cell_0,cell_11,cell_14,cell_16,cell_19,cell_2,cell_6	mut0	0	0.06301027647899953850804839347	0E+29	
